name,id,slug
Суриков В.И.,5a8d312a6cd2214f03505c0d,v-i-surikov
Айвазовский И.К.,5a8d501cb19ce5c1109ea580,ayvazovskiy-ik
Венецианов А.Г.,5a8dd512b19ce5c1109ea654,venecianov-ag
Левицкий Д.Г.,5a8dd0cfb19ce5c1109ea62a,levickiy-dg
Дейнека А.А.,5a8d2e586cd2214f03505bcb,a-a-deyneka
Брюллов К.П.,5a8e74c3b19ce5c1109ea6b1,k-p-bryullov
Бруни Ф.А.,5a8e6fa8b19ce5c1109ea69f,f-a-bruni
Иванов А.А. ,5a8d4e20b19ce5c1109ea56c,a-a-ivanov
Петров-Водкин К.С.,5a8d2fcb6cd2214f03505bf1,petrov-vodkin-ks
Саврасов А.К.,5ad70812097ce74b56b86472,savrasov-ak
Матюшин М.В.,5c48b6b072ebd144ef45ccfb,matyushin-mv
Келин П.И.,5c48b6dc72ebd144ef45db3a,kelin-pi
Захаров Ф.И.,5c48b6c572ebd144ef45d3a0,zaharov-f-i
Абрахам Хендрикс ван Бейерен,5c48b6ae72ebd144ef45cc53,abraham-hendriks-van-beyeren
Булганин В.Ф.,5c48b6d272ebd144ef45d805,bulganin-v-f
Чехонадский В.М.,5c48b6d272ebd144ef45d819,chehonadskiy-v-m
Пустовойтов С.И.,5c48b6d272ebd144ef45d7fd,pustovoytov-s-i
Ерышев Ю.И.,5c48b6d272ebd144ef45d81d,eryshev-yu-i
Сахарова В.С.,5c48b6d272ebd144ef45d825,saharova-v-s
Голицын Н.Б.,5c48b66c72ebd144ef45b82b,golicyn-n-b
Черниенко Г.А.,5c48b6ad72ebd144ef45cbf3,chernienko-g-a
Годфрид Схалкен,5c48b68f72ebd144ef45c204,godfridus-shalken
Франс ван Мирис-старший,5c48b69172ebd144ef45c258,frans-van-miris-starshiy-1
Себастьян Вранкс,5c48b6b472ebd144ef45ce5f,sebastyan-vranks
Утагава Хиросигэ I,5c48b6d972ebd144ef45da24,utagava-hirosige-i
Никольский А.С.,5c48b6b572ebd144ef45ce7c,nikolskiy-a-s
Фриц Таулов,5c48b67e72ebd144ef45bceb,fric-taulov
Тициан Вечеллио,5c48b6cb72ebd144ef45d5bb,tician-vechellio
Михил ван Мюсхер,5c48b69172ebd144ef45c26e,mihil-van-myusher
Кокурин В.Г.,5c48b6ad72ebd144ef45cbba,kokurin-vg
Каллимах,5c48b6b172ebd144ef45cd15,kallimah
Голиков В.В.,5c48b66e72ebd144ef45b8b8,golikov-v-v
Глобина В.Ф.,5c48b66e72ebd144ef45b8d1,globina-v-f
Гландин А.Л.,5c48b66f72ebd144ef45b90c,glandin-a-l
