name,id,slug
Абгарян Н.Ю.,633d58a6b7f492781f540461,abgaryan-n-yu
Авакимян О.А.,634d4a3b8460abec4b565966,avakimyan-oa
Агаян Э.М.,6492cbdb7b57daa4683593ee,agayan-em
Азизян М.С.,5ef842ca6afe6f0740a5007e,ms-azizyan
Азизян М.Ц.,5efc4be012104e75f7b45230,azizyan-mc
Айвазовский И.К.,5a8d501cb19ce5c1109ea580,ayvazovskiy-ik
Аракельян  Г.Г.,5f687773a938962c732c6797,arakelyan-gg
Асламазян М.А.,5f1eab862cb0e0089e7c02ab,aslamazyan-ma
Баграмян Г.К.,5f1a8467323dda767073702f,bagramyan-gk
Бастаджян С.А.,6059f7e951d4b727a87aa932,bastadzhyan-sa
Башинджагян Г.З.,6359d1e92653965cf6b42dfc,bashindzhagyan-gevork-georgiy-zaharovich
Болотян И.,6107b1b15022086de768ad7b,bolotyan-i
Габриэлян Р.И.,5f51e4b84576f553ae2755b4,gabrielyan-ri
Давитьян А.Ю.,62e76ad97b03e47d8d2da3ce,davityan-ayu
Карапетян Р.,6085a0ca12d5df691cdea359,karapetyan-roza-7-let-kruzhok-orlovskaya-mozaika-bu-orlovskoy-oblasti-do-dvorec-pionerov-i-shkolnikov-im-yua-gagarina--rukovoditel-kurochkina-irina-pavlovna
Кольян Т.Н.,61eff0e423183bb97b7717eb,kolyan-tn
Манукян О.Г.,60151eab361c5379ccade865,manukyan-og
Мелик-Акопян Р.В.,649055d3ed9f039804f1a5ed,melik-akopyan-rv
Микоян А.И.,6085a19e12d5df691cdf9f82,generalnyy-konstruktor-artem-ivanovich-mikoyan
Мхеян Д.А.,64130c652b7ba378f49af9fc,mheyan-da
Налбандян Д.А.,5c48b6aa72ebd144ef45caa1,dmitriy-arkadevich-nalbandyan
Налбандян Д.А.,6426b2c892000d92a3de694e,nalbandyan-da
Никогосян Н.Б.,6085a40512d5df691ce2c69b,nikogosyan-nikolay-bagrationovich-1918-2018
Папикьян Р.Т.,5f1eac76dbd20d7642ec41f1,papikyan-rt
Папикян А.С.,5f1a7b5f323dda7670736cd1,papikyan-as
Подолян В.,5cbce7efcbf0e87cf300ef8e,podolyan-v
Сарьян М.С.,5c48b6dc72ebd144ef45db23,saryan-m-s
Франгулян Г.В.,6085a0d612d5df691cdeb14b,georgiy-vartanovich-frangulyan
Халатян И.Н.,6085a24312d5df691ce06d32,halatyan-irina-nikolaevna
Хашхаян Х.И.,6453cd66bb6e23a227642563,hashhayan-hi
Ширинян Р.К.,60f02298ff515c001851c76d,shirinyan-rk
